Date : 2022-02-20 20:53:21
Directory : c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend
Total : 219 files,  39071 codes, 2277 comments, 2687 blanks, all 44035 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\Dockerfile                                                      | Docker             |         16 |          9 |         11 |         36 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\OpenAPI\openapi-undone.yml                                      | YAML               |        149 |          0 |          5 |        154 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\OpenAPI\openapi.yml                                             | YAML               |        202 |          0 |          1 |        203 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\README-integration.md                                           | Markdown           |         40 |          0 |         10 |         50 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\README.md                                                       | Markdown           |         14 |          0 |          7 |         21 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\1.debian.conf                                               | Properties         |         14 |         22 |          9 |         45 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\2.init-iTemper.sh                                           | Shell Script       |         21 |         11 |          8 |         40 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\3.initMongodb.sh                                            | Shell Script       |          3 |          1 |          1 |          5 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\4.initKeys.sh                                               | Shell Script       |          4 |          1 |          2 |          7 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\5.runMongodb.sh                                             | Shell Script       |          1 |          1 |          3 |          5 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\6. runiTemper.sh                                            | Shell Script       |          7 |          1 |          1 |          9 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\deploy.sh                                                   | Shell Script       |         10 |          1 |          1 |         12 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\dockerBuild.sh                                              | Shell Script       |          1 |          0 |          1 |          2 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\initKeys.sh                                                 | Shell Script       |          4 |          1 |          2 |          7 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\initRabbitmq.sh                                             | Shell Script       |          2 |          1 |          1 |          4 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\initRelease.sh                                              | Shell Script       |          1 |          1 |          1 |          3 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\install-github.sh                                           | Shell Script       |          4 |          1 |          2 |          7 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\partition.sh                                                | Shell Script       |          6 |          2 |          0 |          8 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\runRabbitmq.sh                                              | Shell Script       |          1 |          1 |          1 |          3 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\bin\uninstallRelease.sh                                         | Shell Script       |          8 |          1 |          2 |         11 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\certs\create-certs.sh                                           | Shell Script       |          1 |          1 |          1 |          3 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\copyStaticAssets.ts                                             | TypeScript         |          5 |          4 |          2 |         11 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\docker-compose.yml                                              | YAML               |         24 |          0 |          2 |         26 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\jest.config.js                                                  | JavaScript         |         19 |          0 |          0 |         19 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\Dockerfile                                                | Docker             |          8 |          4 |          7 |         19 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\README.md                                                 | Markdown           |          1 |          0 |          1 |          2 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\1. build-itemper-nginx.sh                             | Shell Script       |          1 |          1 |          1 |          3 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\Init-letsencrypt.sh                                   | Shell Script       |         61 |          4 |         16 |         81 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\attach-nginx-files.sh                                 | Shell Script       |          1 |          0 |          1 |          2 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\check-certs.sh                                        | Shell Script       |          1 |          0 |          1 |          2 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\initNginx.sh                                          | Shell Script       |          2 |          1 |          2 |          5 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\reload-webserver.sh                                   | Shell Script       |          1 |          1 |          1 |          3 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\renew-ssl.sh                                          | Shell Script       |          5 |          1 |          4 |         10 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\run-nginx-files.sh                                    | Shell Script       |          1 |          0 |          1 |          2 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\runNginx.sh                                           | Shell Script       |          5 |          5 |          2 |         12 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\startWebserver.sh                                     | Shell Script       |          1 |          1 |          2 |          4 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\updateContentReverseProxy.sh                          | Shell Script       |          2 |          1 |          1 |          4 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\bin\updateUserAPIReverseProxy.sh                          | Shell Script       |          2 |          1 |          1 |          4 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\config\conf.d\http-itemper.io.conf                        | Properties         |         22 |          4 |          8 |         34 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\config\conf.d\https-itemper.io.conf                       | Properties         |         26 |          2 |         11 |         39 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\config\conf.d\userapi.conf                                | Properties         |         38 |          0 |         13 |         51 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\config\itemper.conf                                       | Properties         |         46 |          6 |         17 |         69 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\config\nginx.conf                                         | Properties         |         18 |          3 |         11 |         32 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\content\verify\index.html                                 | HTML               |         23 |          0 |          3 |         26 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\content\verify\tova.html                                  | HTML               |         23 |          0 |          3 |         26 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\docker-compose-production.yml                             | YAML               |         49 |         10 |          1 |         60 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\docker-compose-staging.yml                                | YAML               |         33 |          0 |          4 |         37 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\nginx\staging\docker-compose-staging.yml                        | YAML               |         33 |          0 |          4 |         37 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\package-lock.json                                               | JSON               |     23,794 |          0 |          1 |     23,795 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\package.json                                                    | JSON               |         98 |          0 |          1 |         99 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\release.ts                                                      | TypeScript         |         34 |          1 |         11 |         46 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\app.ts                                                      | TypeScript         |         96 |         34 |         44 |        174 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\admin\admin-controller.ts                          | TypeScript         |         31 |          0 |          6 |         37 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\auth\auth-middleware.ts                            | TypeScript         |         97 |          1 |          9 |        107 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\device\device-controller.ts                        | TypeScript         |        178 |          3 |         18 |        199 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\device\device-middleware.ts                        | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\device\device-model.ts                             | TypeScript         |         37 |          4 |         19 |         60 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\device\device-status.ts                            | TypeScript         |         46 |          0 |          3 |         49 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\home\home-controller.ts                            | TypeScript         |          6 |          0 |          6 |         12 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\location\location-controller.ts                    | TypeScript         |        237 |         11 |         25 |        273 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\location\location-middleware.ts                    | TypeScript         |         55 |          1 |         17 |         73 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\location\location-model.ts                         | TypeScript         |         24 |          0 |         12 |         36 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\monitor\monitor.ts                                 | TypeScript         |         55 |         10 |         22 |         87 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\sensor\sensor-controller.ts                        | TypeScript         |        275 |          8 |         45 |        328 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\sensor\sensor-middleware.ts                        | TypeScript         |         29 |          1 |          6 |         36 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\sensor\sensor-model.ts                             | TypeScript         |         54 |          8 |         17 |         79 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\tenant\tenant-database.ts                          | TypeScript         |         27 |          1 |         13 |         41 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\tenant\tenant-middleware.ts                        | TypeScript         |         28 |          1 |          3 |         32 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\tenant\tenant-model.ts                             | TypeScript         |         10 |          0 |          5 |         15 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\user\user-controller.ts                            | TypeScript         |        170 |          3 |         26 |        199 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\user\user-database.ts                              | TypeScript         |          9 |          4 |          7 |         20 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\features\user\user-model.ts                                 | TypeScript         |         84 |          5 |         19 |        108 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap-social.scss                        | SCSS               |        101 |          8 |          7 |        116 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_alerts.scss                       | SCSS               |         42 |         16 |         16 |         74 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_badges.scss                       | SCSS               |         48 |          9 |         12 |         69 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_breadcrumbs.scss                  | SCSS               |         19 |          4 |          6 |         29 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_button-groups.scss                | SCSS               |        174 |         39 |         32 |        245 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_buttons.scss                      | SCSS               |        121 |         23 |         25 |        169 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_carousel.scss                     | SCSS               |        207 |         33 |         31 |        271 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_close.scss                        | SCSS               |         23 |          8 |          6 |         37 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_code.scss                         | SCSS               |         52 |          9 |          9 |         70 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_component-animations.scss         | SCSS               |         21 |          9 |          8 |         38 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_dropdowns.scss                    | SCSS               |        147 |         45 |         25 |        217 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_forms.scss                        | SCSS               |        391 |        144 |         83 |        618 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_glyphicons.scss                   | SCSS               |        285 |         19 |          4 |        308 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_grid.scss                         | SCSS               |         29 |         30 |         26 |         85 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_input-groups.scss                 | SCSS               |        122 |         31 |         19 |        172 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_jumbotron.scss                    | SCSS               |         41 |          3 |         11 |         55 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_labels.scss                       | SCSS               |         45 |          9 |         13 |         67 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_list-group.scss                   | SCSS               |         79 |         28 |         24 |        131 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_media.scss                        | SCSS               |         48 |          6 |         13 |         67 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_mixins.scss                       | SCSS               |         30 |          6 |          5 |         41 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_modals.scss                       | SCSS               |        102 |         31 |         18 |        151 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_navbar.scss                       | SCSS               |        480 |         84 |         99 |        663 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_navs.scss                         | SCSS               |        161 |         43 |         39 |        243 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_normalize.scss                    | SCSS               |        177 |        162 |         86 |        425 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_pager.scss                        | SCSS               |         45 |          3 |          7 |         55 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_pagination.scss                   | SCSS               |         75 |          7 |          8 |         90 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_panels.scss                       | SCSS               |        213 |         27 |         32 |        272 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_popovers.scss                     | SCSS               |        112 |          9 |         11 |        132 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_print.scss                        | SCSS               |         74 |         10 |         18 |        102 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_progress-bars.scss                | SCSS               |         49 |         22 |         17 |         88 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_responsive-embed.scss             | SCSS               |         26 |          5 |          5 |         36 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_responsive-utilities.scss         | SCSS               |        132 |         23 |         25 |        180 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_scaffolding.scss                  | SCSS               |         92 |         35 |         35 |        162 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_tables.scss                       | SCSS               |        161 |         39 |         35 |        235 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_theme.scss                        | SCSS               |        184 |         56 |         52 |        292 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_thumbnails.scss                   | SCSS               |         25 |          7 |          7 |         39 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_tooltip.scss                      | SCSS               |         86 |          9 |          7 |        102 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_type.scss                         | SCSS               |        199 |         44 |         56 |        299 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_utilities.scss                    | SCSS               |         30 |         13 |         13 |         56 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_variables.scss                    | SCSS               |        388 |        280 |        207 |        875 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\_wells.scss                        | SCSS               |         21 |          5 |          4 |         30 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\bootstrap.scss                     | SCSS               |         39 |         11 |          7 |         57 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_alerts.scss                | SCSS               |         11 |          1 |          3 |         15 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_background-variant.scss    | SCSS               |          9 |          2 |          2 |         13 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_border-radius.scss         | SCSS               |         16 |          1 |          2 |         19 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_buttons.scss               | SCSS               |         55 |          5 |          6 |         66 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_center-block.scss          | SCSS               |          5 |          1 |          2 |          8 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_clearfix.scss              | SCSS               |         10 |         11 |          2 |         23 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_forms.scss                 | SCSS               |         56 |         26 |          7 |         89 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_gradients.scss             | SCSS               |         44 |          9 |          6 |         59 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_grid-framework.scss        | SCSS               |         63 |         10 |          9 |         82 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_grid.scss                  | SCSS               |        104 |          9 |         10 |        123 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_hide-text.scss             | SCSS               |         10 |          9 |          3 |         22 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_image.scss                 | SCSS               |         18 |         10 |          6 |         34 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_labels.scss                | SCSS               |          9 |          1 |          3 |         13 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_list-group.scss            | SCSS               |         25 |          2 |          6 |         33 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_nav-divider.scss           | SCSS               |          6 |          3 |          2 |         11 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_nav-vertical-align.scss    | SCSS               |          4 |          4 |          2 |         10 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_opacity.scss               | SCSS               |          5 |          2 |          2 |          9 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_pagination.scss            | SCSS               |         22 |          1 |          2 |         25 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_panels.scss                | SCSS               |         20 |          1 |          4 |         25 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_progress-bar.scss          | SCSS               |          6 |          2 |          3 |         11 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_reset-filter.scss          | SCSS               |          3 |          4 |          2 |          9 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_reset-text.scss            | SCSS               |         17 |          1 |          1 |         19 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_resize.scss                | SCSS               |          4 |          1 |          2 |          7 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_responsive-visibility.scss | SCSS               |         14 |          5 |          3 |         22 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\src\public\css\lib\bootstrap\mixins\_size.scss                  | SCSS               |          7 |          1 |          3 |         11 |
